EXTRATO DE CONTA CORRENTE C6 BANK

Agência: 0 / Conta: 0
Extrato gerado em 15/05/2025 - as 12:34:58

Extrato de 01/01/2025 a 15/05/2025


Data Lançamento,Data Contábil,Título,Descrição,Entrada(R$),Saída(R$),Saldo do Dia(R$)
09/01/2025,09/01/2025,desc generoca aleatoria,desc generoca aleatoria,550.00,0.00,890.02
11/01/2025,13/01/2025,desc generoca aleatoria FILHO,desc generoca aleatoria FILHO,283.00,0.00,1173.02
15/01/2025,15/01/2025,PGTO FAT CARTAO C6,Fatura de cartão,0.00,816.11,356.91
04/02/2025,04/02/2025,desc generoca aleatoria,desc generoca aleatoria,550.00,0.00,906.91
09/02/2025,10/02/2025,desc generoca aleatoria FILHO,desc generoca aleatoria FILHO,283.00,0.00,1189.91
14/02/2025,14/02/2025,PGTO FAT CARTAO C6,Fatura de cartão,0.00,816.10,373.81
07/03/2025,07/03/2025,desc generoca aleatoria,desc generoca aleatoria,550.00,0.00,923.81
10/03/2025,10/03/2025,desc generoca aleatoria FILHO,desc generoca aleatoria FILHO,283.00,0.00,1206.81
14/03/2025,14/03/2025,desc generoca aleatoria CLARK,desc generoca aleatoria CLARK,100.00,0.00,80.13
14/03/2025,14/03/2025,PGTO FAT CARTAO C6,Fatura de cartão,0.00,1226.68,80.13
02/04/2025,01/04/2025,desc generoca aleatoria,desc generoca aleatoria,540.00,0.00,620.13
09/04/2025,09/04/2025,desc generoca aleatoria FILHO,desc generoca aleatoria FILHO,283.00,0.00,903.13
15/04/2025,15/04/2025,PGTO FAT CARTAO C6,Fatura de cartão,0.00,860.50,42.63
06/05/2025,06/05/2025,desc generoca aleatoria,desc generoca aleatoria,545.00,0.00,587.63
14/05/2025,14/05/2025,desc generoca aleatoria junior,desc generoca aleatoria junior,409.00,0.00,996.63
